snr_db,baseline_ber
0,0.16901
1,0.14831
2,0.131155
3,0.11503
4,0.100405
5,0.0867
6,0.07696
7,0.06704
8,0.059905
9,0.054635
10,0.049015
11,0.045555
12,0.04253
13,0.0405
14,0.03806
15,0.0362
16,0.03545
17,0.034455
18,0.033715
