snr_db,ber
0,1.452350e-01
1,1.226950e-01
2,1.009800e-01
3,8.045000e-02
4,6.354000e-02
5,4.937500e-02
6,3.724500e-02
7,2.889000e-02
8,2.230000e-02
9,1.722500e-02
10,1.369500e-02
11,1.163000e-02
12,1.016500e-02
13,8.805000e-03
14,7.750000e-03
15,7.270000e-03
16,6.810000e-03
17,6.455000e-03
18,6.270000e-03
