snr_db,ber
2,1.554450e-01
3,1.315950e-01
4,1.092500e-01
5,8.877000e-02
6,7.047500e-02
7,5.461000e-02
8,4.135000e-02
9,3.074000e-02
10,2.224000e-02
11,1.634500e-02
12,1.124500e-02
13,7.585000e-03
14,5.230000e-03
15,3.700000e-03
16,2.770000e-03
17,1.885000e-03
18,1.420000e-03
