snr_db,baseline_ber
2,0.247895
3,0.227935
4,0.20917
5,0.191295
6,0.171775
7,0.155205
8,0.137275
9,0.12364
10,0.106395
11,0.093655
12,0.08178
13,0.070885
14,0.06053
15,0.051165
16,0.043595
17,0.036195
