snr_db,ber
2,1.665600e-01
3,1.412700e-01
4,1.198300e-01
5,9.887000e-02
6,8.026500e-02
7,6.333500e-02
8,4.966500e-02
9,3.883500e-02
10,2.958500e-02
11,2.288500e-02
12,1.740500e-02
13,1.307500e-02
14,1.047500e-02
15,8.130000e-03
16,6.515000e-03
17,5.045000e-03
18,3.975000e-03
