snr_db,ber
2,2.374950e-01
3,2.178550e-01
4,1.962950e-01
5,1.745850e-01
6,1.558400e-01
7,1.362150e-01
8,1.171750e-01
9,1.004900e-01
10,8.510500e-02
11,7.250500e-02
12,6.009000e-02
13,5.010500e-02
14,4.177000e-02
15,3.434000e-02
16,2.823500e-02
17,2.364500e-02
