snr_db,ber
2,3.305050e-01
3,3.112500e-01
4,2.909650e-01
5,2.694200e-01
6,2.460600e-01
7,2.224250e-01
8,2.004850e-01
9,1.798450e-01
10,1.592000e-01
11,1.397900e-01
12,1.239200e-01
13,1.083550e-01
14,9.533500e-02
15,8.353500e-02
16,7.425500e-02
17,6.563000e-02
