snr_db,baseline_ber
2,0.19026
3,0.16902
4,0.149145
5,0.13109
6,0.113165
7,0.098515
8,0.088085
9,0.075125
10,0.06688
11,0.05975
12,0.05386
13,0.04905
14,0.04488
15,0.04187
16,0.03962
17,0.037815
