snr_db,baseline_ber
2,0.24823
3,0.227915
4,0.20887
5,0.190045
6,0.172105
7,0.1557
8,0.13698
9,0.12245
10,0.106775
11,0.093325
12,0.08166
13,0.07044
14,0.060245
15,0.05153
16,0.04376
17,0.03677
