SNR,BER
0.0,1.452e-01
1.0,1.288e-01
2.0,1.097e-01
3.0,9.434e-02
4.0,8.164e-02
5.0,6.993e-02
6.0,6.098e-02
7.0,5.222e-02
8.0,4.713e-02
9.0,4.183e-02
10.0,3.710e-02
11.0,3.391e-02
12.0,3.043e-02
13.0,2.868e-02
14.0,2.691e-02
15.0,2.570e-02
16.0,2.435e-02
17.0,2.372e-02
18.0,2.277e-02
19.0,2.233e-02
