SNR,BER
0.0,1.488e-01
1.0,1.305e-01
2.0,1.135e-01
3.0,9.734e-02
4.0,8.556e-02
5.0,7.310e-02
6.0,6.349e-02
7.0,5.602e-02
8.0,4.980e-02
9.0,4.434e-02
10.0,3.984e-02
11.0,3.602e-02
12.0,3.264e-02
13.0,3.094e-02
14.0,2.947e-02
15.0,2.792e-02
16.0,2.689e-02
17.0,2.575e-02
18.0,2.536e-02
19.0,2.456e-02
