SNR,BER
0.0,1.488e-01
1.0,1.292e-01
2.0,1.112e-01
3.0,9.804e-02
4.0,8.427e-02
5.0,7.274e-02
6.0,6.269e-02
7.0,5.482e-02
8.0,4.894e-02
9.0,4.291e-02
10.0,3.861e-02
11.0,3.511e-02
12.0,3.240e-02
13.0,2.998e-02
14.0,2.823e-02
15.0,2.639e-02
16.0,2.586e-02
17.0,2.463e-02
18.0,2.358e-02
19.0,2.341e-02
