snr_db,baseline_ber
2,0.1903
3,0.169145
4,0.14863
5,0.129905
6,0.114125
7,0.09996
8,0.08718
9,0.07602
10,0.06782
11,0.060495
12,0.05378
13,0.049705
14,0.045045
15,0.041795
16,0.03956
17,0.03753
18,0.036065
