snr_db,baseline_ber
2,0.189851
3,0.168507
4,0.14941
5,0.130477
6,0.114253
7,0.099773
8,0.086397
9,0.075962
10,0.067227
11,0.059575
12,0.054177
13,0.048937
14,0.045245
15,0.041961
16,0.03958
17,0.037722
