snr_db,ber
0,1.563100e-01
1,1.352500e-01
2,1.144450e-01
3,9.635000e-02
4,7.947000e-02
5,6.516000e-02
6,5.267000e-02
7,4.376500e-02
8,3.492500e-02
9,2.887000e-02
10,2.401500e-02
11,1.991500e-02
12,1.722500e-02
13,1.497500e-02
14,1.333000e-02
15,1.204000e-02
16,1.099500e-02
17,1.023500e-02
18,9.570000e-03
