snr_db,ber
0,1.457900e-01
1,1.225800e-01
2,1.001500e-01
3,7.975000e-02
4,6.166500e-02
5,4.894000e-02
6,3.707500e-02
7,2.843500e-02
8,2.183500e-02
9,1.682000e-02
10,1.383500e-02
11,1.112500e-02
12,9.790000e-03
13,8.195000e-03
14,7.520000e-03
15,6.745000e-03
16,6.420000e-03
17,5.965000e-03
18,5.785000e-03
