snr_db,baseline_ber
0,0.168755
1,0.14819
2,0.13014
3,0.112695
4,0.098115
5,0.08705
6,0.07555
7,0.067465
8,0.060125
9,0.052765
10,0.0488
11,0.04469
12,0.041975
13,0.03905
14,0.037615
15,0.0355
16,0.03414
17,0.033595
18,0.03232
