snr_db,baseline_ber
2,0.150165
3,0.12745
4,0.108455
5,0.089135
6,0.07163
7,0.05788
8,0.045705
9,0.034135
10,0.02581
11,0.020115
12,0.01437
13,0.01058
14,0.0077
15,0.005025
16,0.003695
17,0.00262
