snr_db,baseline_ber
2,0.1502
3,0.129455
4,0.108155
5,0.0886
6,0.07207
7,0.05769
8,0.04412
9,0.034605
10,0.025935
11,0.019365
12,0.01457
13,0.01044
14,0.007365
15,0.005475
16,0.00365
17,0.002445
