snr_db,baseline_ber
2,0.24793
3,0.230105
4,0.20912
5,0.190225
6,0.17233
7,0.154195
8,0.13828
9,0.122475
10,0.106975
11,0.094125
12,0.08104
13,0.069285
14,0.06014
15,0.05128
16,0.04397
17,0.036655
