snr_db,ber
2,2.169850e-01
3,1.854700e-01
4,1.574500e-01
5,1.286050e-01
6,1.072150e-01
7,8.598000e-02
8,7.054000e-02
9,5.624500e-02
10,4.535500e-02
11,3.558000e-02
12,2.882500e-02
13,2.435500e-02
14,2.057000e-02
15,1.782500e-02
16,1.538000e-02
17,1.439500e-02
18,1.314000e-02
