snr_db,baseline_ber
2.0,0.190176
3.0,0.168213
4.0,0.149108
5.0,0.130119
6.0,0.113445
7.0,0.099231
8.0,0.086537
9.0,0.075834
10.0,0.06698
11.0,0.059805
12.0,0.053974
13.0,0.049204
14.0,0.045214
15.0,0.042167
16.0,0.039478
17.0,0.037556
