snr_db,ber
2,1.549650e-01
3,1.324400e-01
4,1.086550e-01
5,8.736500e-02
6,7.074500e-02
7,5.475500e-02
8,4.043500e-02
9,3.097000e-02
10,2.227000e-02
11,1.616000e-02
12,1.173000e-02
13,8.130000e-03
14,5.950000e-03
15,4.160000e-03
16,2.770000e-03
17,2.055000e-03
18,1.490000e-03
