snr_db,baseline_ber
2,0.149135
3,0.128415
4,0.106735
5,0.088095
6,0.07069
7,0.056765
8,0.04355
9,0.03372
10,0.02604
11,0.01897
12,0.01394
13,0.010555
14,0.00709
15,0.00526
16,0.003455
17,0.00247
18,0.00184
