snr_db,ber
-2,1.941350e-01
-1,1.676250e-01
0,1.437350e-01
1,1.204500e-01
2,9.979500e-02
3,7.955000e-02
4,6.264500e-02
5,4.980000e-02
6,3.773000e-02
7,2.902000e-02
8,2.203000e-02
9,1.698500e-02
10,1.334000e-02
11,1.095500e-02
12,9.315000e-03
13,7.780000e-03
14,7.185000e-03
15,6.425000e-03
16,6.015000e-03
17,5.905000e-03
18,5.375000e-03
