snr_db,baseline_ber
-2,0.21317
-1,0.192055
0,0.17045
1,0.15253
2,0.134405
3,0.1175
4,0.10351
5,0.091605
6,0.078825
7,0.07038
8,0.063445
9,0.05737
10,0.052585
11,0.048725
12,0.046345
13,0.04255
14,0.04103
15,0.039175
16,0.03761
17,0.036695
18,0.035855
        
