snr_db,baseline_ber
2,0.147405
3,0.12737
4,0.107265
5,0.088695
6,0.071915
7,0.05729
8,0.044385
9,0.033735
10,0.02568
11,0.019165
12,0.01438
13,0.010125
14,0.00704
15,0.0052
16,0.003545
17,0.00241
