snr_db,baseline_ber
2,0.149595
3,0.127565
4,0.10722
5,0.0879
6,0.07264
7,0.057695
8,0.04435
9,0.034365
10,0.026255
11,0.020175
12,0.014695
13,0.010205
14,0.007475
15,0.00528
16,0.003655
17,0.00267
