snr_db,ber
2,1.532950e-01
3,1.308950e-01
4,1.092650e-01
5,8.803500e-02
6,6.941500e-02
7,5.373000e-02
8,4.077000e-02
9,3.110000e-02
10,2.245500e-02
11,1.643500e-02
12,1.163500e-02
13,8.560000e-03
14,5.635000e-03
15,4.195000e-03
16,2.795000e-03
17,2.040000e-03
18,1.390000e-03
