snr_db,ber
2,2.190000e-01
3,1.899250e-01
4,1.691750e-01
5,1.397250e-01
6,1.178000e-01
7,9.455000e-02
8,7.412500e-02
9,5.955000e-02
10,4.672500e-02
11,3.392500e-02
12,2.735000e-02
13,1.935000e-02
14,1.445000e-02
15,1.080000e-02
16,8.300000e-03
17,5.475000e-03
18,4.425000e-03
