snr_db,baseline_ber
0,0.168405
1,0.149215
2,0.13096
3,0.113395
4,0.098775
5,0.08649
6,0.075855
7,0.067085
8,0.06035
9,0.053965
10,0.048465
11,0.04488
12,0.04183
13,0.039675
14,0.03771
15,0.036245
16,0.03462
17,0.03359
18,0.032825
