snr_db,resnet_ber,baseline_ber
0,0.16886,0.168405
1,0.142265,0.149215
2,0.115965,0.13096
3,0.093955,0.113395
4,0.07473,0.098775
5,0.05839,0.08649
6,0.044425,0.075855
7,0.0342,0.067085
8,0.026025,0.06035
9,0.021245,0.053965
10,0.01706,0.048465
11,0.01368,0.04488
12,0.012025,0.04183
13,0.010635,0.039675
14,0.009415,0.03771
15,0.008635,0.036245
16,0.00809,0.03462
17,0.007725,0.03359
18,0.00757,0.032825
