snr_db,ber
2,1.794450e-01
3,1.575550e-01
4,1.352700e-01
5,1.140800e-01
6,9.584000e-02
7,7.854500e-02
8,6.462000e-02
9,5.271500e-02
10,4.364000e-02
11,3.523500e-02
12,2.892500e-02
13,2.351000e-02
14,1.984000e-02
15,1.725500e-02
16,1.482000e-02
17,1.341500e-02
18,1.225500e-02
